,Ticker,Company Name,Country,Sector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
87027,LXP,LXP INDUSTRIAL TRUST,US,Real Estate Management & Services,BB,4.2,4.5,3.6,6.2
87090,LYB,LyondellBasell Industries NV,GB,Commodity Chemicals,BBB,5.7,3.2,4.4,6.8
87343,LYFT,"LYFT, INC",US,Road & Rail Transport,BB,4.1,5.0,3.5,3.9
87596,LYV,"LIVE NATION ENTERTAINMENT, INC",US,Media & Entertainment,BB,4.2,8.9,5.1,3.8
87849,M,"MACYS, INC",US,Retail - Consumer Discretionary,BBB,5.4,6.0,4.3,6.0
87910,MA,MASTERCARD INCORPORATED,US,Software & Services,A,6.9,10.0,4.9,4.7
88163,MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC",US,Real Estate Management & Services,BB,3.2,5.4,1.8,5.5
88416,MAC,THE MACERICH COMPANY,US,Real Estate Management & Services,BBB,5.0,7.8,4.0,4.2
88477,MAN,MANPOWERGROUP INC,US,Professional Services,AA,8.2,10.0,6.7,6.4
88730,MANH,"MANHATTAN ASSOCIATES, INC",US,Software & Services,BBB,5.7,3.6,4.7,5.0
88983,MANT,MANTECH INTERNATIONAL CORPORATION,US,Software & Services,B,2.6,3.7,3.9,3.0
89046,MAR,"MARRIOTT INTERNATIONAL, INC",US,Hotels & Travel,BB,4.0,6.3,3.5,2.7
89299,MAS,MASCO CORPORATION,US,Building Products,A,6.8,5.9,5.6,5.3
89552,MASI,MASIMO CORPORATION,US,Health Care Equipment & Supplies,BB,3.9,6.5,5.0,4.4
89805,MAT,"MATTEL, INC",US,Leisure Products,A,5.8,5.3,4.3,6.2
90058,MCD,MALLINCKRODT PUBLIC LIMITED COMPANY,IE,Pharmaceuticals,CCC,0.0,3.6,3.0,0.5
90059,MCD,MCDONALDS CORPORATION,US,Restaurants,BBB,5.0,7.4,3.0,4.2
90564,MCHP,MICROCHIP TECHNOLOGY INCORPORATED,US,Semiconductors & Semiconductor Equipment,BBB,4.8,6.3,4.6,4.3
90817,MCK,MCKESSON CORPORATION,US,Health Care Providers & Services,BBB,5.6,9.0,2.0,5.6
91070,MCO,MOODYS CORPORATION,US,Diversified Financials,AA,8.4,10.0,5.0,5.5
91323,MDB,"MONGODB, INC",US,Software & Services,BBB,4.8,4.3,5.0,4.5
91576,MDLZ,"Mondelez International, Inc",US,Food Products,BBB,5.7,5.3,4.2,4.5
91829,MDT,COVIDIEN INTERNATIONAL FINANCE SA,LU,Health Care Equipment & Supplies,BB,2.9,10.0,4.2,5.8
91830,MDT,MEDTRONIC INC,US,Health Care Equipment & Supplies,BB,2.9,10.0,4.2,5.8
91831,MDT,MEDTRONIC PUBLIC LIMITED COMPANY,IE,Health Care Equipment & Supplies,BB,2.9,10.0,4.2,5.8
92588,MDU,"MDU RESOURCES GROUP, INC",US,Industrial Conglomerates,AA,8.56,4.7,6.6,6.3
92589,MDU,MONTANA-DAKOTA UTILITIES CO,US,Utilities,AA,8.56,4.7,6.6,6.3
93094,MEDP,"MEDPACE HOLDINGS, INC",US,Health Care Equipment & Supplies,BB,4.2,5.8,5.4,4.3
93286,MET,"METLIFE, INC",US,Life & Health Insurance,A,7.0,6.7,4.2,6.3
93287,MET,METROPOLITAN LIFE INSURANCE COMPANY,US,Life & Health Insurance,A,7.0,6.7,4.8,6.8
93792,MGM,MGM RESORTS INTERNATIONAL,US,Casinos & Gaming,BBB,5.1,6.2,3.7,5.4
94045,MHK,"MOHAWK INDUSTRIES, INC",US,Household Durables,BB,4.1,8.7,4.6,3.1
94298,MIDD,THE MIDDLEBY CORPORATION,US,Industrial Machinery,BB,3.7,4.3,3.9,5.3
94551,MKL,Markel Corporation,US,Property & Casualty Insurance,BB,3.3,3.8,2.5,5.5
94804,MKSI,"MKS INSTRUMENTS, INC",US,Semiconductors & Semiconductor Equipment,BBB,4.8,4.1,2.7,6.8
95057,MKTX,MARKETAXESS HOLDINGS INC,US,Diversified Financials,BBB,5.2,8.0,1.8,6.3
95310,MLM,"MARTIN MARIETTA MATERIALS, INC",US,Construction Materials,A,6.7,4.5,3.2,6.8
95563,MMC,"MARSH & MCLENNAN COMPANIES, INC",US,Multi-Line Insurance & Brokerage,AA,7.2,10.0,6.4,4.7
95816,MMM,3M COMPANY,US,Industrial Conglomerates,AAA,8.6,6.0,4.6,6.2
96069,MMS,"MAXIMUS, INC",US,Software & Services,BBB,4.3,8.7,2.6,5.0
96070,MMS,Mcmillan Shakespeare Ltd,AU,Professional Services,BBB,5.6,8.3,4.0,7.9
96575,MNST,MONSTER BEVERAGE CORPORATION,US,Beverages,B,2.6,3.1,3.2,4.2
96828,MOH,"MOLINA HEALTHCARE, INC",US,Health Care Providers & Services,BBB,4.9,8.0,3.5,6.1
